"Tag","Name","# lines","Ver.","Catalog","Documentation","Date of entry","Entry in cm-1"
"052529","SiC2, v3 = 2","565","2*","HTML | ASCII","e052529.cat","Oct. 2015",""
"052530","C3O, v5 = 1","221","1*","HTML | ASCII","e052530.cat","Jan. 2009",""
"052531","H13CCCN, (0,0,1,1)","388","1*","HTML | ASCII","e052531.cat","Nov. 2011",""
"052532","HC13CCN, (0,0,1,1)","384","1*","HTML | ASCII","e052532.cat","Nov. 2011",""
"052533","HCC13CN, (0,0,1,1)","424","1*","HTML | ASCII","e052533.cat","Nov. 2011",""
"052534","HCC13CN, (1,0,0,0)","96","1*","HTML | ASCII","e052534.cat","Nov. 2011",""
"052535","HCC13CN, (1,0,0,1)","192","1*","HTML | ASCII","e052535.cat","Nov. 2011",""
"052536","AlCCH","101","1*","HTML | ASCII","e052536.cat","Sep. 2012",""
"052537","SiC2, v3 = 3","126","1*","HTML | ASCII","e052537.cat","Oct. 2015",""
"052538","SiC2, v3 = 4","122","1*","HTML | ASCII","e052538.cat","Oct. 2015",""
"052539","HCCNCH+","39","1*","HTML | ASCII","e052539.cat","Mar. 2022",""
"053501","AlNC","85","1","HTML | ASCII","e053501.cat","Dec. 2003",""
"053502","SiCCH","862","1","HTML | ASCII","e053502.cat","Jan. 2002",""
"053503","HC13C13CN, v = 0","133","1","HTML | ASCII","e053503.cat","Jan. 2003",""
"053504","H13CC13CN, v = 0","137","1","HTML | ASCII","e053504.cat","Feb. 2003",""
"053505","AlCN","40","1","HTML | ASCII","e053505.cat","Dec. 2003",""
"053506","HCC13C15N","113","1","HTML | ASCII","e053506.cat","Jan. 2003",""
"053507","t-HC3O","8688","1","HTML | ASCII","e053507.cat","Apr. 2003",""
"053508","H13C13CCN, v = 0","99","1","HTML | ASCII","e053508.cat","Dec. 2004",""
"053509","Si13CC","1970","1*","HTML | ASCII","e053509.cat","Jan. 2008",""
"053510","29SiC2","1470","2*","HTML | ASCII","e053510.cat","Dec. 2011",""
"053511","D13CCCN","130","1*","HTML | ASCII","e053511.cat","Mar. 2008",""
"053512","DC13CCN","128","1*","HTML | ASCII","e053512.cat","Mar. 2008",""
"053513","DCC13CN","129","1*","HTML | ASCII","e053513.cat","Mar. 2008",""
"053514","DC315N","130","1*","HTML | ASCII","e053514.cat","Mar. 2008",""
"053515","C2H3CN, v = 0","18561","1*","HTML | ASCII","e053515.cat","May 2008",""
"053516","13CCCO","98","1*","HTML | ASCII","e053516.cat","Feb. 2009",""
"053517","C13CCO","96","1*","HTML | ASCII","e053517.cat","Feb. 2009",""
"053518","CC13CO","96","1*","HTML | ASCII","e053518.cat","Feb. 2009",""
"053519","NCCNH+","97","1*","HTML | ASCII","e053519.cat","July 2015",""
"053520","52CrH","119","1*","HTML | ASCII","e053520.cat","Mar. 2019",""
"053521","CH2D37Cl","7251","1*","HTML | ASCII","e053521.cat","Sep. 2020",""
"053522","HC3O+","80","2*","HTML | ASCII","e053522.cat","Jul. 2023",""
"053523","Z-HC3HNH","8218","1*","HTML | ASCII","e053523.cat","Aug. 2022",""
"053524","E-HC3HNH","4829","1*","HTML | ASCII","e053524.cat","Aug. 2022",""
"054501","SiCN","1412","2","HTML | ASCII","e054501.cat","Jan. 2002",""
"054502","SiNC","1502","1","HTML | ASCII","e054502.cat","Jan. 2002",""
"054503","l-H2C3O","4169","1","HTML | ASCII","e054503.cat","Feb. 2002",""
"054504","c-H2C3O","4744","2*","HTML | ASCII","e054504.cat","Feb. 2021",""
"054505","30SiC2","1465","2*","HTML | ASCII","e054505.cat","Dec. 2011",""
"054506","H213CCHCN, v = 0","13964","1*","HTML | ASCII","e054506.cat","May 2008",""
"054507","H2C13CHCN, v = 0","13960","1*","HTML | ASCII","e054507.cat","May 2008",""
"054508","H2CCH13CN, v = 0","13700","1*","HTML | ASCII","e054508.cat","May 2008",""
"054509","H2CCHC15N","11704","1*","HTML | ASCII","e054509.cat","May 2008",""
"054510","HCCCHO","9208","1*","HTML | ASCII","e054510.cat","Dec. 2008",""
"054511","C318O","95","1*","HTML | ASCII","e054511.cat","Feb. 2009",""
"054512","E-HNCHCN","9944","2*","HTML | ASCII","e054512.cat","Nov. 2018",""
"054513","Z-HNCHCN","8114","2*","HTML | ASCII","e054513.cat","Nov. 2018",""
"054514","H2CNCN","8243","1*","HTML | ASCII","e054514.cat","Feb. 2014",""
"054515","NCCND+","96","1*","HTML | ASCII","e054515.cat","July 2015",""
"054516","NC13CNH+","94","1*","HTML | ASCII","e054516.cat","July 2015",""
"054517","N13CCNH+","94","1*","HTML | ASCII","e054517.cat","July 2015",""
"054518","CH2CHCNH+","851","1*","HTML | ASCII","e054518.cat","July 2015",""
"054519","C2H5CCH","9187","1*","HTML | ASCII","e054519.cat","Mar. 2017",""
"054520","c-H2C2Si","1838","1*","HTML | ASCII","e054520.cat","Sep. 2017",""
"054521","H2C2Si","82","1*","HTML | ASCII","e054521.cat","Sep. 2017",""
"054522","HSiCCH","19","1*","HTML | ASCII","e054522.cat","Feb. 2024",""
"055501","HC(O)CN","10103","1*","HTML | ASCII","e055501.cat","June 2006",""
